SampleID,NC_2516,Rv1733c,Rv1830,Rv2690c,Rv3220c,Rv3861,ceoB,devR,devS,katG,mtrA,phoR,subI,sugI,virS,whiB6
MFS-535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
