"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed","reason"
"S0314-01.filtered.vcf.gz",2,-3077.25726418224,0.000617695473251029,0,1.34357952253363e-55,18.1056,2,57,"4.1.1.1",0.0552,FALSE,NA
"S0314-m5.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0317-01B.filtered.vcf.gz",3,-2001.9969882362,0.00174444444444444,0,4.34248514866651e-12,12.2892,1,65,"2.2.M1.1",0.6612,FALSE,NA
"S0317-01B.filtered.vcf.gz",3,-2001.9969882362,0.00174444444444444,0,4.34248514866651e-12,12.2892,2,128,"4.9",0.2698,FALSE,NA
"S0317-01B.filtered.vcf.gz",3,-2001.9969882362,0.00174444444444444,0,4.34248514866651e-12,12.2892,3,57,"4.1.1.1",0.069,FALSE,NA
"S0317-01.filtered.vcf.gz",3,-1829.73665178108,0.00147037037037037,0,3.57143793276179e-11,14.6376,1,65,"2.2.M1.1",0.6502,FALSE,NA
"S0317-01.filtered.vcf.gz",3,-1829.73665178108,0.00147037037037037,0,3.57143793276179e-11,14.6376,2,57,"4.1.1.1",0.2274,FALSE,NA
"S0317-01.filtered.vcf.gz",3,-1829.73665178108,0.00147037037037037,0,3.57143793276179e-11,14.6376,3,156,"4.1.1.3",0.1224,FALSE,NA
"S0322-01B.filtered.vcf.gz",2,-3152.39482636626,1e-04,0,1.96548302701199e-58,116.9256,1,65,"2.2.M1.1",0.6601,FALSE,NA
"S0322-01B.filtered.vcf.gz",2,-3152.39482636626,1e-04,0,1.96548302701199e-58,116.9256,2,156,"4.1.1.3",0.3399,FALSE,NA
"S0322-01.filtered.vcf.gz",3,-3673.1615746008,0.000617695473251029,0,4.99925387718919e-14,3.4863,1,156,"4.1.1.3",0.8169,FALSE,NA
"S0322-01.filtered.vcf.gz",3,-3673.1615746008,0.000617695473251029,0,4.99925387718919e-14,3.4863,2,65,"2.2.M1.1",0.1567,FALSE,NA
"S0322-01.filtered.vcf.gz",3,-3673.1615746008,0.000617695473251029,0,4.99925387718919e-14,3.4863,3,57,"4.1.1.1",0.0264,FALSE,NA
"S0324-01.filtered.vcf.gz",1,-1679.92197718101,1e-04,0,-1,Inf,1,114,"2.2.M2.2",1,FALSE,NA
"S0325-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0326-01B.filtered.vcf.gz",3,-840.069362616007,0.000739506172839506,0,6.78749758902869e-06,6.7054,1,74,"4.8.1",0.9061,FALSE,NA
"S0326-01B.filtered.vcf.gz",3,-840.069362616007,0.000739506172839506,0,6.78749758902869e-06,6.7054,2,147,"2.2.M4",0.0425,FALSE,NA
"S0326-01B.filtered.vcf.gz",3,-840.069362616007,0.000739506172839506,0,6.78749758902869e-06,6.7054,3,128,"4.9",0.0514,FALSE,NA
"S0326-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0329-01.filtered.vcf.gz",2,-1460.85813204977,0.0011962962962963,0,9.52681256174027e-45,40.9812,1,9,"4.3.2.1",0.8557,FALSE,NA
"S0329-01.filtered.vcf.gz",2,-1460.85813204977,0.0011962962962963,0,9.52681256174027e-45,40.9812,2,57,"4.1.1.1",0.1443,FALSE,NA
"S0330-01.filtered.vcf.gz",3,-4518.01166553442,0.00284074074074074,0,2.59302216563444e-48,49.0759,1,128,"4.9",0.4333,FALSE,NA
"S0330-01.filtered.vcf.gz",3,-4518.01166553442,0.00284074074074074,0,2.59302216563444e-48,49.0759,2,65,"2.2.M1.1",0.3012,FALSE,NA
"S0330-01.filtered.vcf.gz",3,-4518.01166553442,0.00284074074074074,0,2.59302216563444e-48,49.0759,3,57,"4.1.1.1",0.2655,FALSE,NA
"S0331-01B.filtered.vcf.gz",1,-4188.25932997846,0.00055679012345679,0,-1,Inf,1,112,"2.2.M2.5",1,FALSE,NA
"S0331-01_K064729.filtered.vcf.gz",2,-3404.85400704862,0.00055679012345679,0,8.00066476700959e-34,3.57699999999999,1,112,"2.2.M2.5",0.9854,FALSE,NA
"S0331-01_K064729.filtered.vcf.gz",2,-3404.85400704862,0.00055679012345679,0,8.00066476700959e-34,3.57699999999999,2,128,"4.9",0.0146,FALSE,NA
"S0331-01.filtered.vcf.gz",1,-2679.76028383435,1e-04,0,-1,Inf,1,9,"4.3.2.1",1,FALSE,NA
"S0334-01B.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0334-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0336-01.filtered.vcf.gz",1,-4934.55653643495,0.000617695473251029,0,-1,Inf,1,93,"2.2.M4.3",1,FALSE,NA
"S0338-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0340-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0341-01B.filtered.vcf.gz",3,-4570.32402917361,0.00197283950617284,0,1.0948128183086e-63,27.0533,1,141,"4.4.1.1",0.5958,FALSE,NA
"S0341-01B.filtered.vcf.gz",3,-4570.32402917361,0.00197283950617284,0,1.0948128183086e-63,27.0533,2,142,"2.2.1",0.1082,FALSE,NA
"S0341-01B.filtered.vcf.gz",3,-4570.32402917361,0.00197283950617284,0,1.0948128183086e-63,27.0533,3,128,"4.9",0.296,FALSE,NA
"S0341-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0343-01B.filtered.vcf.gz",1,-4150.74976454632,0.00055679012345679,0,-1,Inf,1,114,"2.2.M2.2",1,FALSE,NA
"S0343-01.filtered.vcf.gz",1,-1747.90292760543,1e-04,0,-1,Inf,1,114,"2.2.M2.2",1,FALSE,NA
"S0348-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0351-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0352-01B.filtered.vcf.gz",2,-4224.97370916727,0.000465432098765432,0,9.67049654403314e-60,90.9216,1,26,"3.5.1",0.7417,FALSE,NA
"S0352-01B.filtered.vcf.gz",2,-4224.97370916727,0.000465432098765432,0,9.67049654403314e-60,90.9216,2,65,"2.2.M1.1",0.2583,FALSE,NA
"S0352-01.filtered.vcf.gz",1,-532.352114331373,1e-04,0,-1,Inf,1,156,"4.1.1.3",1,FALSE,NA
"S0353-01.filtered.vcf.gz",1,-535.242429435508,1e-04,0,-1,Inf,1,40,"2.2.M4.4",1,FALSE,NA
"S0354-01.filtered.vcf.gz",1,-2598.82396199301,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0355-01.filtered.vcf.gz",1,-1647.96555807754,1e-04,0,-1,Inf,1,12,"4.3.3",1,FALSE,NA
"S0360-01.filtered.vcf.gz",1,-728.139635020458,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0362-01.filtered.vcf.gz",1,-2793.28697469526,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0363-01.filtered.vcf.gz",1,-3976.05518761987,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0366-01.filtered.vcf.gz",1,-2073.81534757549,1e-04,0,-1,Inf,1,112,"2.2.M2.5",1,FALSE,NA
"S0367-01B.filtered.vcf.gz",1,-1737.39150078578,1e-04,0,-1,Inf,1,156,"4.1.1.3",1,FALSE,NA
"S0367-01.filtered.vcf.gz",2,-3522.00500281274,1e-04,0,9.58898044254409e-60,143.1936,1,65,"2.2.M1.1",0.5932,FALSE,NA
"S0367-01.filtered.vcf.gz",2,-3522.00500281274,1e-04,0,9.58898044254409e-60,143.1936,2,26,"3.5.1",0.4068,FALSE,NA
"S0370-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0372-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0377-01B.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0377-01_K064756.filtered.vcf.gz",3,-3234.30598215103,0.000922222222222222,0,1.84575284195118e-34,38.369,1,65,"2.2.M1.1",0.7432,FALSE,NA
"S0377-01_K064756.filtered.vcf.gz",3,-3234.30598215103,0.000922222222222222,0,1.84575284195118e-34,38.369,2,9,"4.3.2.1",0.08,FALSE,NA
"S0377-01_K064756.filtered.vcf.gz",3,-3234.30598215103,0.000922222222222222,0,1.84575284195118e-34,38.369,3,128,"4.9",0.1768,FALSE,NA
"S0377-01.filtered.vcf.gz",1,-1209.38259951116,0.000922222222222222,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0378-01.filtered.vcf.gz",1,-3561.85569460108,0.00055679012345679,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0380-01.filtered.vcf.gz",1,-2752.66835447122,1e-04,0,-1,Inf,1,115,"2.2.M1.4",1,FALSE,NA
"S0387-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0391-01B.filtered.vcf.gz",3,-4619.06044583045,1e-04,0,6.68240158796209e-85,5.69649999999999,1,65,"2.2.M1.1",0.8748,FALSE,NA
"S0391-01B.filtered.vcf.gz",3,-4619.06044583045,1e-04,0,6.68240158796209e-85,5.69649999999999,2,156,"4.1.1.3",0.1077,FALSE,NA
"S0391-01B.filtered.vcf.gz",3,-4619.06044583045,1e-04,0,6.68240158796209e-85,5.69649999999999,3,9,"4.3.2.1",0.0175,FALSE,NA
"S0391-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0393-01B.filtered.vcf.gz",1,-3597.39885970054,0.000617695473251029,0,-1,Inf,1,12,"4.3.3",1,FALSE,NA
"S0393-01.filtered.vcf.gz",3,-4318.55999213374,1e-04,0,2.87948368437508e-44,3.3775,1,156,"4.1.1.3",0.4794,FALSE,NA
"S0393-01.filtered.vcf.gz",3,-4318.55999213374,1e-04,0,2.87948368437508e-44,3.3775,2,65,"2.2.M1.1",0.5103,FALSE,NA
"S0393-01.filtered.vcf.gz",3,-4318.55999213374,1e-04,0,2.87948368437508e-44,3.3775,3,9,"4.3.2.1",0.0103,FALSE,NA
"S0394-01.filtered.vcf.gz",1,-1483.15434703225,1e-04,0,-1,Inf,1,57,"4.1.1.1",1,FALSE,NA
"S0401-01B.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0401-01.filtered.vcf.gz",1,-1233.03352418251,1e-04,0,-1,Inf,1,57,"4.1.1.1",1,FALSE,NA
"S0402-01.filtered.vcf.gz",1,-5587.42653828049,0.000922222222222222,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0403-01.filtered.vcf.gz",2,-1468.44461551216,0.000922222222222222,0,9.0042868556227e-50,34.9114,1,30,"4.4.1.1.1",0.8991,FALSE,NA
"S0403-01.filtered.vcf.gz",2,-1468.44461551216,0.000922222222222222,0,9.0042868556227e-50,34.9114,2,65,"2.2.M1.1",0.1009,FALSE,NA
"S0410-01.filtered.vcf.gz",1,-2652.75423088039,0.000922222222222222,0,-1,Inf,1,12,"4.3.3",1,FALSE,NA
"S0412-01.filtered.vcf.gz",1,-3035.59537357016,1e-04,0,-1,Inf,1,156,"4.1.1.3",1,FALSE,NA
"S0414-01.filtered.vcf.gz",1,-1607.00547272104,0.00055679012345679,0,-1,Inf,1,43,"3.1.3.1",1,FALSE,NA
"S0415-01.filtered.vcf.gz",1,-2849.23858039844,0.00055679012345679,0,-1,Inf,1,74,"4.8.1",1,FALSE,NA
"S0416-01B.filtered.vcf.gz",1,-2840.84705069088,1e-04,0,-1,Inf,1,9,"4.3.2.1",1,FALSE,NA
"S0416-01_K064715.filtered.vcf.gz",1,-4327.25631139521,0.000617695473251029,0,-1,Inf,1,9,"4.3.2.1",1,FALSE,NA
"S0416-01.filtered.vcf.gz",1,-353.974666982303,1e-04,0,-1,Inf,1,112,"2.2.M2.5",1,FALSE,NA
"S0424-01.filtered.vcf.gz",3,-2637.11546842709,0.000922222222222222,0,3.67009592983393e-06,4.7603,1,110,"2.2.M4.8",0.9033,FALSE,NA
"S0424-01.filtered.vcf.gz",3,-2637.11546842709,0.000922222222222222,0,3.67009592983393e-06,4.7603,2,148,"4.1.1",0.0788,FALSE,NA
"S0424-01.filtered.vcf.gz",3,-2637.11546842709,0.000922222222222222,0,3.67009592983393e-06,4.7603,3,9,"4.3.2.1",0.0179,FALSE,NA
"S0428-01.filtered.vcf.gz",1,-3527.79608005472,0.000617695473251029,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0435-01.filtered.vcf.gz",3,-1705.85922672162,0.00203374485596708,0,6.97221103561802e-66,31.865,1,12,"4.3.3",0.7117,FALSE,NA
