SampleID,Kraken_Kept_Prop
S0336-01,0.969696265344983
S0338-01,0.3494248477019691
S0340-01,0.43988523709822425
S0341-01,0.5211112684567617
S0341-01B,0.7387255815232954
S0343-01,0.973136989084528
S0343-01B,0.9793071205865361
S0348-01,0.1644234590149469
S0351-01,0.07547837067258607
S0352-01,0.7537898259676934
S0352-01B,0.9844383836016932
S0353-01,0.46151984414430924
S0354-01,0.8767299488293453
S0355-01,0.963898800843109
S0360-01,0.9136786948264422
S0362-01,0.9355685732916167
S0363-01,0.9821753142114217
S0366-01,0.9723479525030888
S0367-01,0.7461846734981312
S0367-01B,0.7996490779691036
S0370-01,0.1258825605942656
S0372-01,0.4813512541048192
S0377-01,0.5513664545459565
S0377-01B,0.0745428501353734
S0377-01_K064756,0.5536380824695916
S0378-01,0.9483282689005428
S0380-01,0.9824531025673247
S0387-01,0.13320625616333456
S0391-01,0.06520242152220763
S0391-01B,0.9846623318100699
S0393-01,0.9722194779466755
S0393-01B,0.8285037346651429
S0394-01,0.983202563551204
S0401-01,0.764650808347585
S0401-01B,0.0951576464273588
S0402-01,0.9348222709904763
S0403-01,0.6137874161647316
S0410-01,0.9647327947045654
S0412-01,0.9788316090739031
S0414-01,0.9619016175106018
S0415-01,0.9571752890459675
S0416-01,0.768782315924486
S0416-01B,0.954591268837049
S0416-01_K064715,0.9725795697676644
S0424-01,0.7783578749551822
S0428-01,0.8401245337911972
S0435-01,0.540681855935798
S0437-01,0.6983484260137093
S0438-01,0.8500582260297364
S0451-01,0.41980860374032963
S0453-01,0.5466753082989053
S0454-01,0.33096685506016343
S0475-01,0.07548469749607671
S0476-01,0.16948409820781105
S0477-01,0.8388789463381896
