pid,Original_ID,SampleID,Sampling_Week,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage,Paired_Sample_Num,total_samples
T0046,S0046-01,MFS-539,1,2.2.1,2.2.1.1.1,"beijing,canetti,mungi",lin2.2.1,,0.0072596970472578,2,1,2
T0046,S0046-07,MFS-540,7,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.007823542292915,2,2,2
T0048,S0048-01,MFS-725,1,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0046393683543209,4,1,2
T0048,S0048-06,MFS-726,6,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0052688645681564,4,2,2
T0049,49-01,MFS-28,1,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0069541657258974,4,1,2
T0049,49-08,MFS-29,8,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0076979472140762,4,2,2
T0051,S0051-01,MFS-727,1,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0064694401193008,4,1,3
T0051,S0051-05,MFS-541,5,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0042044700154901,4,2,3
T0052,52-01,MFS-30,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0083175026954869,2,1,2
T0052,52-06,MFS-31,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0074377930039668,2,2,2
T0054,S0054-02,MFS-542,2,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0055397277619499,4,1,2
T0054,S0054-09,MFS-543,9,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0061396359684868,4,2,2
T0055,55-01,MFS-33,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0082946717278222,2,1,2
T0055,55-08,MFS-34,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0075312910401758,2,2,2
T0056,56-01,MFS-35,1,4.2.2,4.2.2.1,tur,,4,0.0124235597038944,4,1,2
T0056,56-04,MFS-36,4,4.2.2,4.2.2.1,tur,,4,0.0115409567384846,4,2,2
T0057,S0057-01,MFS-544,1,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0056395795949756,4,1,2
T0057,S0057-04,MFS-545,4,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0055466064400418,4,2,2
T0058,S0058-01,MFS-546,1,3,3.1.1,"east_african_indian,ghana,mungi",,,0.0097172419456381,3,1,2
T0058,S0058-09,MFS-547,9,3,3.1.1,"east_african_indian,ghana,mungi",,,0.008214662786805,3,2,2
T0059,S0059-01,MFS-344,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0088760993798889,2,1,2
T0059,S0059-08,MFS-345,8,2.2.1.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,pacific_RD150",,0.0086907974318414,2,2,2
T0060,S0060-01,MFS-548,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.007029011461318,2,1,2
T0060,S0060-04,MFS-549,4,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0073274651184567,2,2,2
T0061,S0061-01,MFS-346,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0103889585947302,2,1,2
T0061,S0061-05,MFS-347,5,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0086638464522564,2,2,2
T0064,64-01,MFS-37,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0097662179941301,2,1,2
T0064,64-08,MFS-38,8,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0068378633284746,2,2,2
T0065,S0065-01,MFS-729,1,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0061860984620671,4,1,2
T0065,S0065-05,MFS-730,5,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0060413574067041,4,2,2
T0066,66-01,MFS-39,1,2.2.1.1,2.2.1.1.1,"beijing,lam,mungi","lin2.2.1,pacific_RD150",,0.1097231285541157,2,1,2
T0066,66-08,MFS-40,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0076553162900887,2,2,2
T0067,S0067-01,MFS-551,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0075280760212267,2,1,2
T0067,S0067-07,MFS-552,7,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0071586220132424,2,2,2
T0068,S0068-01,MFS-553,1,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0116168750395311,3,1,2
T0068,S0068-07,MFS-554,7,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0097229312665336,3,2,2
T0069,S0069-01,MFS-348,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0086518798175239,2,1,2
T0069,S0069-08,MFS-349,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.007992637085836,2,2,2
T0070,70-01,MFS-41,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0086163737450923,2,1,2
T0070,70-08,MFS-42,8,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0103910919326439,2,2,2
T0071,S0071-01,MFS-555,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0068219667328798,2,1,2
T0071,S0071-05,MFS-556,5,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.006366047745358,2,2,2
T0072,S0072-01,MFS-350,1,"4.1.2.1,4.8","4.2.1.1.1.1.1.1.i1,4.1.i1.1.1.1","haarlem,canetti",,4.1.2/Haarlem,0.411180383617218,4,1,2
T0072,S0072-06,MFS-351,6,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0129753108668228,4,2,2
T0076,S0076-01,MFS-559,1,4.1.2,4.1.i1.1.1.1,haarlem,,4,0.0096857247946381,4,1,2
T0076,S0076-06,MFS-731,6,4.1.2,4.1.i1.1.1.1,haarlem,,4,0.0107734644885531,4,2,2
T0077,77-01,MFS-43,1,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0102858612265889,4,1,2
T0077,77-06,MFS-44,6,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0117307883487424,4,2,2
T0078,S0078-01,MFS-732,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0090269001624842,2,1,2
T0078,S0078-07,MFS-733,7,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0100977294871416,2,2,2
T0079,79-01,MFS-45,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0078445447087776,2,1,2
T0079,79-07,MFS-46,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0086398533287498,2,2,2
T0082,82-01,MFS-47,1,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0098319473319473,3,1,2
T0082,82-08,MFS-48,8,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0102533666243706,3,2,2
T0083,83-01,MFS-49,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0081668368091001,2,1,2
T0083,83-06,MFS-50,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0074835588479854,2,2,2
T0085,85-01,MFS-51,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0079391569711996,2,1,2
T0085,85-07,MFS-52,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0090958019375672,2,2,2
T0087,S0087-01,MFS-353,1,"4.1.2.1,4.8","4.2.1.1.1.1.1.1.i1,4.1.i1.1.1.1","haarlem,canetti",,4.1.2/Haarlem,0.4185719663696825,4,1,2
T0087,S0087-08,MFS-354,8,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0077048568115258,4,2,2
T0088,S0088-01,MFS-734,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0099927166788055,2,1,2
T0088,S0088-04,MFS-735,4,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0079528046673837,2,2,2
T0090,S0090-01,MFS-355,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0085703501409889,2,1,2
T0090,S0090-06,MFS-356,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0090562179335025,2,2,2
T0091,S0091-01,MFS-564,1,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0081223364251692,4,1,2
T0091,S0091-05,MFS-736,5,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0071035394692333,4,2,2
T0092,S0092-01,MFS-357,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0082734676540656,2,1,2
T0092,S0092-06,MFS-358,6,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0077795881221835,2,2,2
T0099,S0099-01,MFS-738,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0091575515112272,2,1,3
T0099,S0099-08,MFS-872,8,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0084825636192271,2,2,3
T0102,S0102-01,MFS-739,1,2.2.1,2.2.1.1.1.i2,"beijing,mungi",lin2.2.1,,0.0072286073736059,2,1,2
T0102,S0102-05,MFS-740,5,2.2.1,2.2.1.1.1.i2,"beijing,mungi",lin2.2.1,,0.0068535969807126,2,2,2
T0103,S0103-01,MFS-571,1,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0082049954704283,3,1,2
T0103,S0103-06,MFS-572,6,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0089711054717065,3,2,2
T0106,106-01,MFS-56,1,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0105254329685075,4,1,2
T0106,106-08,MFS-57,8,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0089820359281437,4,2,2
T0107,107-01,MFS-58,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0073585444846637,2,1,2
T0107,107-07,MFS-59,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0083519614827188,2,2,2
T0108,S0108-01,MFS-360,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.007965730512839,2,1,2
T0108,S0108-08,MFS-361,8,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0079878445843281,2,2,2
T0111,S0111-01,MFS-362,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0084378013500482,2,1,2
