SampleID,Total_Reads_after_fastp,Keep_Reads_Kraken_Standard_DB,Keep_Proportion_Kraken_Standard_DB,Unclassified_Proportion_Kraken_Custom_DB,NTM_Reads,NTM_Proportion
MFS-16,5158920,5116870,0.9918490691850232,0.004,26195,0.0050776131438363065
MFS-160,5349197,5267708,0.9847661247099332,0.0063,53387,0.009980376493892449
MFS-161,8076402,7957934,0.9853315870111468,0.006,80819,0.010006807486799196
MFS-162,5226620,5118259,0.979267480704547,0.012,53480,0.010232234216376932
MFS-163,6510028,6353789,0.9760002568345328,0.015,66528,0.010219310884684366
MFS-164,6175318,6079629,0.984504603649561,0.0069,62156,0.010065230648850796
MFS-165,4728281,4615882,0.9762283586783442,0.0152,42812,0.009054453404947803
MFS-166,4651294,4589581,0.9867320792880432,0.0046,46926,0.010088805394799812
MFS-167,5733657,5553905,0.9686496768118498,0.0224,57130,0.009963972382721882
MFS-168,6318782,6181582,0.9782869546694284,0.0135,63069,0.009981195743103655
MFS-169,6115238,5984455,0.9786135878930632,0.0126,60035,0.00981727939288708
MFS-17,6058894,6008988,0.9917631831816168,0.0043,29570,0.004880428672295637
MFS-170,5731208,5640913,0.9842450317629372,0.0070999999999999,56703,0.009893725720650864
MFS-171,6649682,6552423,0.9853738870520424,0.0066,65310,0.009821522292344205
MFS-172,5396401,5300875,0.982298202079497,0.0083,56434,0.0104577106112018
MFS-173,6267255,6141902,0.9799987394800436,0.0118999999999999,60407,0.009638510001587617
MFS-174,5632229,5526035,0.9811452978918294,0.0103,55320,0.00982204381249413
MFS-175,6731242,6636241,0.985886557042519,0.0054,66878,0.009935462133139769
MFS-176,5985517,5898858,0.985521885578138,0.0056999999999999,60285,0.010071811674747562
MFS-177,5677187,5590453,0.984722363381724,0.0054,60150,0.010595035886610746
MFS-178,5166779,5091974,0.98552192768454,0.0042,55213,0.01068615475908685
MFS-18,6016988,5964715,0.9913124307377712,0.0051,29569,0.004914252778965156
MFS-180,4948398,4877478,0.9856680889451496,0.0049,50765,0.010258875700782355
MFS-181,4363841,4297813,0.9848692929004516,0.0053,45831,0.010502444979090668
MFS-182,3945394,3884135,0.9844732870785528,0.0065,39722,0.010067942517274574
MFS-184,5564708,5476202,0.984095122331666,0.0074,55603,0.009992078649948928
MFS-185,4819599,4746574,0.9848483245182846,0.0049,51025,0.010586980369113696
MFS-186,4188202,4093168,0.9773091173730398,0.0128,44109,0.010531726979739755
MFS-187,4645272,4556941,0.9809847518078596,0.0102,46653,0.010043114805763797
MFS-188,4621344,3825199,0.8277243589743589,0.1748,566077,0.12249185518325405
MFS-189,5284849,5190476,0.982142725364528,0.0097,51644,0.009772086203409028
MFS-19,6334565,6283409,0.9919243073518073,0.0046999999999999,30664,0.0048407428134370715
MFS-190,4409296,4343578,0.9850955798839542,0.006,45037,0.010214102205885022
MFS-191,4691394,4619023,0.9845736682956068,0.0067,47729,0.010173735141409995
MFS-194,4492028,4399311,0.9793596567073936,0.0101,54832,0.012206513405526413
MFS-198,5176215,5076783,0.9807905969902718,0.0073,65757,0.012703684062582408
MFS-199,5134839,5034406,0.9804408667925129,0.0074,67064,0.01306058476224863
MFS-2,5071239,5022635,0.9904157544142566,0.0046999999999999,27326,0.005388426773023318
MFS-20,5546654,5483330,0.9885833873899472,0.0076,25786,0.0046489288857751
