covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,Indel
HIV_High_CD4,-0.038152348009813535,0.962566284662309,0.18954685245396055,-0.10149010754179989,0.5042187818902775,1,0.8404781653325782,0.9034901170362297,0.33630366564306774,2.4272539224966554,arsC
high_lung_involvement,-0.0283697440715547,0.9720288984271188,0.19466329243191094,-0.05673628623073723,0.3893046144575019,1,0.8841286065837689,0.9448432046777414,0.44053767494325763,2.026452519732143,arsC
HIV_Low_CD4,0.3066781971441182,1.3589035986434779,0.13653927503716387,1.0294545525675118,0.45833378309975437,1,0.024698854945879107,2.799538417132176,1.1401237906424797,6.874179289410678,arsC
fstrom1_baseline,-0.002711000199676494,0.997292671242855,0.17762962224221757,-0.005812151986037083,0.3808226800637345,1,0.9878230826315382,0.994204705893319,0.4713233561544224,2.0971653203975134,arsC
diabetes,0.2326608470401131,1.2619534115063786,0.1446466644560675,1.0896936637439263,0.677469182050623,1,0.10773072816290172,2.973363084120658,0.7881069037164349,11.217879184056104,arsC
Indel_Sample1,0.039605340040222405,1.0404000888999605,0.19728521015967035,0.2025637344776777,1.0090262799554517,1,0.8408927368708385,1.2245381279328598,0.16946795371081305,8.848242950523307,arsC
underweight,0.335190164947931,1.3982062497612904,0.197733624301197,0.6723945727912859,0.39665548020816616,1,0.09004503969633565,1.9589224914041496,0.9002922171026863,4.262368655899813,Rv0025
screen_years,0.011656908408130403,1.0117251149330377,0.18780267966121664,0.0009134171047160662,0.01471592414627029,1,0.9505071040645876,1.000913834397164,0.972457151882426,1.0302032351228556,Rv0025
smoked_substance_use,0.1326047825047526,1.141798650343793,0.1996968842800253,0.270871446784963,0.40792030982322297,1,0.5066709166654322,1.3111065125930472,0.5894073909146162,2.9164891955230385,Rv0025
F2,0.05598421860918565,1.0575809935059377,0.1452606121146796,0.10183377658805053,0.2642251171601182,1,0.699937111497592,1.1071994139667047,0.6596552447632295,1.8583806496198232,Rv0025
TTP_baseline,-0.033081102942379696,0.9674600925469806,0.2230921898923456,-0.09257416449534125,0.6243012248017346,1,0.8821182858551623,0.9115816014679454,0.2681571524448436,3.098858294692645,Rv0025
smear_pos_no_contam_sputum_specimen_1,-0.12778697327589886,0.8800408313931526,0.21331461810778377,-0.2909618448941439,0.4857022060732735,1,0.5491368814405609,0.747544200102043,0.28854025346954554,1.9367222575937222,Rv0025
bl_prevtb,0.23044557627090176,1.2591609371871164,0.1708750479667837,0.4770205563116947,0.35371002455296435,1,0.17745892338738234,1.611266565411555,0.8055432755079207,3.222893199842273,Rv0025
Lineage_2,0.19281965267076376,1.212664073070049,0.20954831062562584,0.3851288626223172,0.41854189351473664,1,0.3574849668869482,1.46980371199882,0.647136408313975,3.338280653122167,Rv0025
screen_sex,-0.04630748819550374,0.9547483432056297,0.18760946783675567,-0.09481853411245934,0.3841463965999992,1,0.8050404386840389,0.9095379696085614,0.42838556494930663,1.9311092292700354,Rv0025
peth_value_baseline,-0.200602981412125,0.818237222462188,0.2776501758593002,-0.0005711937874496297,0.0007905767622132843,1,0.4699855108956349,0.9994289693126664,0.9978815513181263,1.000978786893056,Rv0025
HIV_High_CD4,-0.022085064759887446,0.9781570248196826,0.18973912712312932,-0.05874908660856354,0.5047302570122407,1,0.9073379146413966,0.942943336587406,0.3506375492493398,2.535786991205318,Rv0025
high_lung_involvement,-0.031946346734200506,0.9685585470143062,0.19579646337717357,-0.06388908788765993,0.39157082845423796,1,0.8703916722626319,0.938109041416259,0.4354593582645888,2.0209660370927365,Rv0025
HIV_Low_CD4,0.3055012080137507,1.3573051247563832,0.13819216157088188,1.0255036462759572,0.463882177419465,1,0.02705672061861747,2.7884995243613733,1.123345498838174,6.921939514962844,Rv0025
fstrom1_baseline,-0.007823670711153126,0.992206854542161,0.17755765771589563,-0.016773279200553014,0.38066839428956295,1,0.9648544209093458,0.9833666090269046,0.4663263248268801,2.0736763855398204,Rv0025
diabetes,0.23968345567473726,1.270846807299935,0.14629395573589765,1.1225848537720617,0.6851844589990563,1,0.10134477930801643,3.072786650933106,0.8022363541319814,11.769620952130676,Rv0025
Indel_Sample1,0.30388760124588615,1.3551167340968395,0.1819040472686891,0.8391730734265453,0.5023205217631758,1,0.09480212519250635,2.314452303130485,0.8647134851804292,6.194756477457143,Rv0025
underweight,0.29682386096104013,1.3455782697103433,0.19487359671799503,0.5954314119454016,0.39091823840909035,1,0.1277184325404707,1.8138132769087354,0.8430287170683288,3.9024988554734508,Rv3378c
screen_years,0.016383833236172318,1.0165187842294392,0.18794492292485074,0.0012838115385977874,0.014727070105857946,1,0.9305335333165281,1.0012846359774015,0.9727961596884778,1.030607401416402,Rv3378c
smoked_substance_use,0.16439802836831158,1.178683371156697,0.200216961537631,0.33581542800783937,0.4089826702942909,1,0.41158964784698615,1.399080769853462,0.6276479392074559,3.118670321845459,Rv3378c
F2,0.07576812926028403,1.07871242330954,0.14070835629115347,0.1378201739573861,0.2559446871742909,1,0.5902481932351797,1.1477691329341182,0.6950147608994802,1.8954618759627595,Rv3378c
TTP_baseline,-0.02025156287159631,0.9799521227265496,0.21898577190915255,-0.056671977226042274,0.6128098239701214,1,0.9263175562935604,0.9449039685576384,0.28429093061797245,3.140597935555564,Rv3378c
smear_pos_no_contam_sputum_specimen_1,-0.11716032452694232,0.8894425822704599,0.21100475944152924,-0.2667657218796113,0.4804428222585627,1,0.5787238943139116,0.7658524729274873,0.29866989363949176,1.9638069413086414,Rv3378c
bl_prevtb,0.2173949931234173,1.2428349164427828,0.1701801757766946,0.45000595037329844,0.35227164450659637,1,0.20144688957958967,1.5683215175608856,0.7862867072000335,3.128162233853893,Rv3378c
Lineage_2,0.044761930980629853,1.0457788627223086,0.17455765010781787,0.08940536573200931,0.34865320166735064,1,0.7976183266644006,1.0935238435871226,0.5521462331673749,2.1657204643666677,Rv3378c
screen_sex,-0.019794247196420745,0.9804003726812472,0.18696403746490528,-0.040530410440325036,0.3828248228305013,1,0.9156839497443672,0.9602799615309121,0.45345770577372857,2.0335691571155,Rv3378c
peth_value_baseline,-0.25923137796821627,0.7716444608592834,0.28782427727264326,-0.0007381313655715294,0.0008195463392319079,1,0.36776992740625325,0.9992621409863703,0.997658333314936,1.000868526894222,Rv3378c
HIV_High_CD4,-0.03722154732736221,0.9634626591252408,0.18956035179674877,-0.09901405911254813,0.5042546918623444,1,0.8443305629220839,0.9057299741743903,0.3371136739109169,2.4334426325724183,Rv3378c
high_lung_involvement,-0.017002508187999175,0.9831412187288109,0.19547510919458705,-0.03400309741116075,0.39092815635826533,1,0.9306870712543982,0.9665685107727772,0.44923542158097646,2.0796549896480085,Rv3378c
HIV_Low_CD4,0.3021320136221782,1.3527397950027022,0.13534682911805598,1.0141939655187715,0.45433099160186613,1,0.02559646584452531,2.75714015145856,1.1317007445784775,6.717166045177755,Rv3378c
fstrom1_baseline,0.005347743204768093,1.0053620679070197,0.17825570476939287,0.011465102913721003,0.38216494732147177,1,0.9760667307639233,1.0115310791063254,0.47827737613477783,2.1393341501264573,Rv3378c
diabetes,0.217791677946437,1.2433280279901218,0.14739914103768106,1.020052211163285,0.6903607206517471,1,0.13952449155941293,2.7733395594688783,0.7167487360579322,10.730974364066913,Rv3378c
Indel_Sample1,0.09727932554575221,1.1021681943603117,0.1487102766127181,0.7222744029303212,1.1041362144265403,1,0.5130130132926963,2.059111137286817,0.2365033724379053,17.927603450186812,Rv3378c
underweight,0.2889271531318992,1.3349944748198148,0.19561964530199982,0.5795905429626925,0.39241481877266204,1,0.13967983451566793,1.7853072744444636,0.8273492456331595,3.852450559431045,Rv0029
screen_years,0.007813486936059752,1.007844091883634,0.18743688840731554,0.0006122526114981435,0.01468726131592363,1,0.9667490452392392,1.000612440076385,0.9722189423072258,1.0298351653790605,Rv0029
smoked_substance_use,0.17285422952142782,1.1886928161334493,0.20076341561909486,0.35308888826608587,0.41009891063533865,1,0.38924646881429814,1.4234576664941323,0.6371882082566489,3.179957981088041,Rv0029
F2,0.0788517711059128,1.0820439200088816,0.14222118127515887,0.1434292349139643,0.2586964748256193,1,0.5792842071358446,1.1542251290764707,0.695164661351142,1.9164317789143999,Rv0029
TTP_baseline,-0.028007298452850136,0.9723812698964981,0.21868730771499698,-0.07837562908831343,0.6119746017148703,1,0.8980935229267261,0.9246170482460555,0.2786430218732292,3.0681431753069317,Rv0029
smear_pos_no_contam_sputum_specimen_1,-0.12571978993629002,0.88186191875021,0.21021432355441752,-0.28625501552955435,0.4786430559906192,1,0.5498030361459576,0.7510710567393705,0.2939404254438441,1.9191226637840075,Rv0029
bl_prevtb,0.2227757773477686,1.2495403670676426,0.1718421248960153,0.4611441320022479,0.3557118662990431,1,0.19483842017669128,1.585887411936721,0.7897504142101935,3.1845996381712167,Rv0029
Lineage_2,0.008610173105684639,1.008647347261515,0.17772705198970742,0.017197552890708952,0.3549836152173084,1,0.9613607622015719,1.0173462821733832,0.507348290345,2.040005805771421,Rv0029
screen_sex,-0.021432388844226942,0.9787956527373765,0.1862494514829844,-0.04388464526856247,0.3813616470474186,1,0.9083868107081486,0.9570643530070102,0.4532371690280148,2.020955557905954,Rv0029
peth_value_baseline,-0.22588723908204025,0.7978080581627844,0.27729267141674513,-0.0006431877867395043,0.0007895588096627508,1,0.41529175200887114,0.9993570190141854,0.997811703202815,1.0009047280636278,Rv0029
HIV_High_CD4,-0.04400509308835797,0.9569490836343982,0.19015215260895688,-0.11705915527861094,0.5058289574372673,1,0.8169881943695465,0.8895325710599146,0.3300649934077855,2.397310259433884,Rv0029
high_lung_involvement,-0.023327827814572825,0.9769421624569451,0.19415572897646388,-0.046653022765757564,0.3882895448320632,1,0.9043642556955096,0.9544185016362738,0.4458884161761937,2.042920702173344,Rv0029
