Original_ID	PacBio_FQ_PATH	Illumina_ID
S0166-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2034--bc2034.hifi_reads.fastq.gz	MFS-199
S0031-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2036--bc2036.hifi_reads.fastq.gz	MFS-16
S0045-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2073--bc2073.hifi_reads.fastq.gz	MFS-26
S0049-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2074--bc2074.hifi_reads.fastq.gz	MFS-29
S0055-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2075--bc2075.hifi_reads.fastq.gz	MFS-33
S0055-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2076--bc2076.hifi_reads.fastq.gz	MFS-34
S0004-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2081--bc2081.hifi_reads.fastq.gz	MFS-1
S0018-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2083--bc2083.hifi_reads.fastq.gz	MFS-8
S0013-09	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2085--bc2085.hifi_reads.fastq.gz	MFS-6
S0227-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2087--bc2087.hifi_reads.fastq.gz	MFS-136
S0245-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2089--bc2089.hifi_reads.fastq.gz	MFS-156
S0247-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2091--bc2091.hifi_reads.fastq.gz	MFS-160
S0246-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2004--bc2004.hifi_reads.fastq.gz	MFS-159
S0299-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2005--bc2005.hifi_reads.fastq.gz	MFS-259
S0290-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2006--bc2006.hifi_reads.fastq.gz	MFS-264
S0290-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2007--bc2007.hifi_reads.fastq.gz	MFS-266
S0289-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2008--bc2008.hifi_reads.fastq.gz	MFS-307
S0292-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2011--bc2011.hifi_reads.fastq.gz	MFS-310
S0299-09	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2012--bc2012.hifi_reads.fastq.gz	MFS-312
S0311-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2015--bc2015.hifi_reads.fastq.gz	MFS-317
S0285-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2016--bc2016.hifi_reads.fastq.gz	MFS-327
S0192-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2019--bc2019.hifi_reads.fastq.gz	MFS-194
S0242-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2021--bc2021.hifi_reads.fastq.gz	MFS-150
S0310-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2029--bc2029.hifi_reads.fastq.gz	MFS-315
S0317-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2030--bc2030.hifi_reads.fastq.gz	MFS-319
S0321-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2031--bc2031.hifi_reads.fastq.gz	MFS-320
S0070-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2035--bc2035.hifi_reads.fastq.gz	MFS-41
S0100-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2071--bc2071.hifi_reads.fastq.gz	MFS-55
S0130-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2072--bc2072.hifi_reads.fastq.gz	MFS-63
S0064-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2077--bc2077.hifi_reads.fastq.gz	MFS-38
S0066-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2078--bc2078.hifi_reads.fastq.gz	MFS-39
S0066-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2079--bc2079.hifi_reads.fastq.gz	MFS-40
S0077-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2080--bc2080.hifi_reads.fastq.gz	MFS-44
S0004-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2082--bc2082.hifi_reads.fastq.gz	MFS-2
S0031-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2084--bc2084.hifi_reads.fastq.gz	MFS-17
S0131-09	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2086--bc2086.hifi_reads.fastq.gz	MFS-65
S0242-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2088--bc2088.hifi_reads.fastq.gz	MFS-151
S0245-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2090--bc2090.hifi_reads.fastq.gz	MFS-157
S0249-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2092--bc2092.hifi_reads.fastq.gz	MFS-163
S0195-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2093--bc2093.hifi_reads.fastq.gz	MFS-277
S0195-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2094--bc2094.hifi_reads.fastq.gz	MFS-110
S0198-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2095--bc2095.hifi_reads.fastq.gz	MFS-113
S0200-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2096--bc2096.hifi_reads.fastq.gz	MFS-116
S0017-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2001--bc2001.hifi_reads.fastq.gz	MFS-520
S0063-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2002--bc2002.hifi_reads.fastq.gz	MFS-550
S0097-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2003--bc2003.hifi_reads.fastq.gz	MFS-566
S0120-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2004--bc2004.hifi_reads.fastq.gz	MFS-583
S0139-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2005--bc2005.hifi_reads.fastq.gz	MFS-601
S0156-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2006--bc2006.hifi_reads.fastq.gz	MFS-611
S0206-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2007--bc2007.hifi_reads.fastq.gz	MFS-635
S0207-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2008--bc2008.hifi_reads.fastq.gz	MFS-636
S0208-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2009--bc2009.hifi_reads.fastq.gz	MFS-637
S0301-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2010--bc2010.hifi_reads.fastq.gz	MFS-656
S0325-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2011--bc2011.hifi_reads.fastq.gz	MFS-658
S0327-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2012--bc2012.hifi_reads.fastq.gz	MFS-659
S0360-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2013--bc2013.hifi_reads.fastq.gz	MFS-770
S0096-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2002--bc2002.hifi_reads.fastq.gz	MFS-737
S0113-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2003--bc2003.hifi_reads.fastq.gz	MFS-741
S0177-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2004--bc2004.hifi_reads.fastq.gz	MFS-753
S0191-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2005--bc2005.hifi_reads.fastq.gz	MFS-754
S0194-03	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2006--bc2006.hifi_reads.fastq.gz	MFS-756
S0430-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2007--bc2007.hifi_reads.fastq.gz	MFS-812
S0030-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2008--bc2008.hifi_reads.fastq.gz	MFS-15
S0053-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2009--bc2009.hifi_reads.fastq.gz	MFS-32
S0167-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2010--bc2010.hifi_reads.fastq.gz	MFS-84
S0167-04	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2011--bc2011.hifi_reads.fastq.gz	MFS-85
S0201-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2012--bc2012.hifi_reads.fastq.gz	MFS-117
